what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407192873184
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1407192873310
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1407192873311
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1407192873454
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1407192873490
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1407192876230
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.TaskList",1407192876573
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1407192876623
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1407192877995
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1407192884839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407192889223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407204126866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407204133678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407205548319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407205550666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407208183506
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1407208187211
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1407208193360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407208195958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407208197313
